,,,,,,,,,,,,,,,,,,,,,,,,,
run,model,batch,schedule,epochs,runtime_seconds,runtime_minutes,final_precision,final_recall,final_map50,final_map50_95,best_map50_epoch,best_map50,best_map50_95_epoch,best_map50_95,best_precision_epoch,best_precision,best_recall_epoch,best_recall,final_train_box_loss,final_train_cls_loss,final_train_dfl_loss,final_val_box_loss,final_val_cls_loss,final_val_dfl_loss,notes
yolov8n_b16_default,YOLOv8n,16,default,50,2090.81,34.85,0.8829,0.77891,0.8659,0.59404,50,0.8659,50,0.59404,27,0.90199,49,0.78521,0.745,0.44305,0.87818,0.78592,0.45578,0.90612,localspd/FPS comparison
yolov8s_b16_default,YOLOv8s,16,default,50,3090.22,51.5,0.90265,0.85003,0.90572,0.64728,50,0.90572,50,0.64728,47,0.92077,50,0.85003,0.61864,0.35701,0.84578,0.68803,0.38879,0.88422,Best results
yolov8s_b32_cos,YOLOv8s,32,cosine,50,2156.35,35.94,0.915,0.83952,0.8998,0.64136,48,0.90178,49,0.64188,46,0.91887,49,0.84286,0.61883,0.35521,0.84761,0.69026,0.38486,0.88731,V8S Results in V8n time
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
