epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0689,1.3668,1.43205,1.07851,0.64217,0.50062,0.55648,0.31907,1.22217,0.91028,1.04178,0.00047506,0.00047506,0.00047506
2,93.9892,1.27801,0.99459,1.05943,0.71376,0.47034,0.56069,0.32898,1.20192,0.86254,1.04589,0.000932555,0.000932555,0.000932555
3,137.216,1.23926,0.89677,1.04748,0.64515,0.57208,0.6268,0.35931,1.16967,0.79288,1.02859,0.00137119,0.00137119,0.00137119
4,179.247,1.21651,0.84389,1.0388,0.73259,0.5279,0.6222,0.35598,1.17524,0.8253,1.0504,0.00134412,0.00134412,0.00134412
5,221.919,1.16918,0.803,1.0253,0.74034,0.58581,0.65558,0.38801,1.10833,0.73986,1.01651,0.00131582,0.00131582,0.00131582
6,262.321,1.14224,0.76835,1.01419,0.72916,0.57646,0.65753,0.38933,1.08804,0.71568,1.01631,0.00128753,0.00128753,0.00128753
7,302.399,1.11857,0.74983,1.00844,0.75598,0.62933,0.70107,0.42468,1.06237,0.68248,1.00083,0.00125923,0.00125923,0.00125923
8,346.655,1.105,0.73244,0.99947,0.77315,0.63503,0.71939,0.43183,1.04534,0.6543,0.99546,0.00123094,0.00123094,0.00123094
9,388.792,1.08986,0.71678,0.99653,0.80774,0.62294,0.72279,0.43578,1.04855,0.66518,0.99695,0.00120265,0.00120265,0.00120265
10,430.219,1.07967,0.70629,0.9898,0.77051,0.63657,0.71213,0.43592,1.0323,0.64584,0.98675,0.00117435,0.00117435,0.00117435
11,473.912,1.05901,0.6876,0.98255,0.82611,0.65576,0.74673,0.46409,1.00466,0.63467,0.97314,0.00114606,0.00114606,0.00114606
12,514.535,1.04747,0.67581,0.97922,0.8009,0.64029,0.73775,0.45272,0.98975,0.61817,0.97252,0.00111776,0.00111776,0.00111776
13,558.299,1.04062,0.66945,0.97621,0.83331,0.66168,0.75997,0.4645,0.98177,0.61527,0.97359,0.00108947,0.00108947,0.00108947
14,598.434,1.02409,0.65693,0.97007,0.81011,0.66254,0.74931,0.46152,0.98033,0.59876,0.97265,0.00106118,0.00106118,0.00106118
15,640.007,1.01259,0.64556,0.96979,0.79883,0.66976,0.75784,0.47274,0.96917,0.6067,0.96481,0.00103288,0.00103288,0.00103288
16,681.733,1.00626,0.63797,0.96424,0.82633,0.70428,0.79129,0.48583,0.96744,0.58586,0.96364,0.00100459,0.00100459,0.00100459
