epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.373,1.24136,1.03648,1.06528,0.74802,0.60687,0.68621,0.39072,1.14487,0.74228,1.04125,0.00047506,0.00047506,0.00047506
2,166.832,1.18693,0.80677,1.04606,0.70575,0.60663,0.6647,0.3842,1.15878,0.76877,1.0501,0.000932555,0.000932555,0.000932555
3,231.555,1.16373,0.78838,1.03706,0.70089,0.61955,0.67241,0.39463,1.10049,0.7694,1.02963,0.00137119,0.00137119,0.00137119
4,284.039,1.14071,0.75907,1.02556,0.72774,0.60677,0.6712,0.3988,1.08193,0.72481,1.02614,0.00134412,0.00134412,0.00134412
5,340.109,1.09074,0.72011,1.00961,0.79951,0.61773,0.71683,0.43669,1.03162,0.65746,0.997,0.00131582,0.00131582,0.00131582
6,399.314,1.05952,0.6861,0.99516,0.80914,0.64654,0.74844,0.4537,1.01732,0.64821,0.9951,0.00128753,0.00128753,0.00128753
7,461.448,1.039,0.66965,0.99103,0.78397,0.66057,0.75314,0.46238,1.00132,0.61725,0.98953,0.00125923,0.00125923,0.00125923
8,522.555,1.02453,0.65199,0.97965,0.80422,0.69263,0.77807,0.48067,0.97693,0.59458,0.97592,0.00123094,0.00123094,0.00123094
9,584.862,1.0069,0.64197,0.97566,0.81842,0.69281,0.78112,0.48609,0.9537,0.59153,0.96753,0.00120265,0.00120265,0.00120265
10,642.748,0.99898,0.63124,0.9698,0.83453,0.68975,0.78016,0.49055,0.95901,0.58624,0.97273,0.00117435,0.00117435,0.00117435
11,705.147,0.98017,0.61131,0.96415,0.82501,0.74031,0.8099,0.51202,0.9221,0.56528,0.95937,0.00114606,0.00114606,0.00114606
12,765.273,0.96712,0.59862,0.95833,0.85061,0.71887,0.81325,0.51308,0.92151,0.5575,0.95973,0.00111776,0.00111776,0.00111776
13,826.16,0.94785,0.58878,0.953,0.85132,0.74996,0.8316,0.53475,0.90505,0.53525,0.95411,0.00108947,0.00108947,0.00108947
14,883.846,0.93573,0.58301,0.94679,0.84077,0.7429,0.81518,0.52658,0.90207,0.53385,0.95077,0.00106118,0.00106118,0.00106118
15,942.392,0.92354,0.57073,0.94509,0.84264,0.74885,0.82684,0.53355,0.88508,0.53392,0.94211,0.00103288,0.00103288,0.00103288
16,1003.94,0.91447,0.56094,0.94028,0.85493,0.76259,0.83508,0.53925,0.88876,0.51428,0.94553,0.00100459,0.00100459,0.00100459
17,1061.7,0.90443,0.55222,0.93615,0.86273,0.75604,0.84154,0.54465,0.86567,0.51149,0.93665,0.000976293,0.000976293,0.000976293
