epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2278,1.24833,1.1347,1.07119,0.72549,0.49767,0.6002,0.33528,1.18074,0.81942,1.06569,0.000473786,0.000473786,0.000473786
2,115.848,1.1757,0.80135,1.04267,0.73432,0.61138,0.68181,0.39266,1.13292,0.77982,1.04002,0.000949183,0.000949183,0.000949183
3,157.361,1.15066,0.77403,1.03455,0.70749,0.59275,0.64667,0.36985,1.1102,0.81192,1.03876,0.00142083,0.00142083,0.00142083
4,201.43,1.1445,0.76089,1.02766,0.74062,0.63091,0.69343,0.41464,1.07677,0.69858,1.02112,0.00141636,0.00141636,0.00141636
5,243.461,1.09755,0.71982,1.01395,0.72615,0.60189,0.67413,0.40304,1.05308,0.67029,1.01431,0.00140658,0.00140658,0.00140658
6,287.945,1.06507,0.69044,0.99699,0.7834,0.67448,0.74504,0.4536,1.00577,0.67693,0.99351,0.00139406,0.00139406,0.00139406
7,330.165,1.04513,0.67092,0.98879,0.78697,0.63181,0.7048,0.43555,1.00166,0.63605,0.98885,0.00137888,0.00137888,0.00137888
8,373.747,1.02102,0.65246,0.97949,0.8128,0.67848,0.76625,0.48051,0.97875,0.60272,0.97992,0.00136107,0.00136107,0.00136107
9,415.957,1.00002,0.63675,0.97297,0.82783,0.68068,0.76601,0.47732,0.9555,0.5969,0.97393,0.00134071,0.00134071,0.00134071
10,459.372,0.98575,0.62259,0.96643,0.83912,0.69135,0.78096,0.49291,0.93753,0.57671,0.96736,0.00131788,0.00131788,0.00131788
11,501.985,0.98238,0.61287,0.96438,0.81366,0.72462,0.79511,0.50255,0.93437,0.56865,0.96655,0.00129268,0.00129268,0.00129268
12,545.24,0.96437,0.60074,0.95784,0.85063,0.71087,0.80183,0.50116,0.91498,0.55832,0.95798,0.0012652,0.0012652,0.0012652
13,588.466,0.95224,0.59102,0.95538,0.83644,0.72104,0.80611,0.504,0.92381,0.57597,0.96533,0.00123554,0.00123554,0.00123554
14,630.929,0.9367,0.5797,0.94986,0.85407,0.73116,0.81708,0.52493,0.88705,0.53722,0.94804,0.00120383,0.00120383,0.00120383
15,673.821,0.92604,0.57175,0.94601,0.83177,0.75973,0.8314,0.53979,0.87153,0.51796,0.9431,0.0011702,0.0011702,0.0011702
16,716.332,0.91525,0.5647,0.9417,0.85257,0.74973,0.83408,0.53662,0.87754,0.52359,0.94416,0.00113477,0.00113477,0.00113477
17,757.879,0.90101,0.55061,0.93577,0.87313,0.7559,0.8353,0.53891,0.8687,0.52488,0.94621,0.00109768,0.00109768,0.00109768
18,800.145,0.89249,0.54428,0.93175,0.84217,0.78375,0.84139,0.54465,0.85619,0.50897,0.94175,0.00105908,0.00105908,0.00105908
19,841.873,0.88009,0.53452,0.92814,0.84194,0.77465,0.84447,0.55341,0.84701,0.49922,0.93414,0.00101913,0.00101913,0.00101913
20,884.449,0.87209,0.52781,0.92504,0.84638,0.78127,0.84454,0.55447,0.83604,0.48746,0.93208,0.000977976,0.000977976,0.000977976
21,926.766,0.86428,0.52133,0.92262,0.8529,0.80267,0.86056,0.56749,0.81914,0.49095,0.92571,0.000935786,0.000935786,0.000935786
22,968.184,0.85105,0.51192,0.91829,0.87521,0.78001,0.85537,0.56562,0.82059,0.49262,0.92521,0.000892726,0.000892726,0.000892726
23,1010.64,0.84155,0.50186,0.91499,0.84674,0.79369,0.85918,0.57787,0.81259,0.47523,0.92354,0.000848965,0.000848965,0.000848965
24,1052.76,0.82604,0.49591,0.90755,0.87712,0.78805,0.86718,0.58572,0.79669,0.46308,0.91782,0.000804676,0.000804676,0.000804676
25,1096.59,0.82148,0.49212,0.90632,0.87802,0.78117,0.865,0.58701,0.79025,0.4688,0.9159,0.000760033,0.000760033,0.000760033
26,1138.09,0.80431,0.48177,0.90456,0.89344,0.80024,0.87259,0.59475,0.78183,0.44468,0.91479,0.000715214,0.000715214,0.000715214
27,1180.81,0.7957,0.47306,0.90131,0.89697,0.80275,0.87888,0.59844,0.78049,0.45062,0.91433,0.000670396,0.000670396,0.000670396
